frame,n_in_hand_left,n_in_hand_right,n_total,instant_dirs,smoothed_dirs,pattern,confidence
332,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
333,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
334,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
335,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
336,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
337,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
338,0,0,4,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
339,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
340,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
341,0,0,5,2,2,CASCADE_3+_DETECTOR_SMOOTHED,0.7
